NAME,SI.UNIT,BIRTH.DATE,DEPARTMENT
"Andre, Constance Greenman",NASM,"1938, circa",Center for Earth and Planetary Studies
Arline Leary,SAO,,
"Awl, Aime M. ",NMNH,1887,Zoology
"Barber, C. V.",SAO,,
"Beach, Jessie G.",NMNH,1887,Paleobiology
"Beech, Olive Ann Mellor",NASM,1903,
"Bell, Barbara",SAO,1922,
"Berdan, Jean Milton",NMNH,1916,Paleobiology
"Berger, Tillie ",NMNH,1907,Botany
"Billups, Karla",NMNH,,Anthropology
"Blake, Doris Holmes",NMNH,1892,Entomology
"Bond, Gladys T.",SAO,1896,
"Boone, Pearl Lee",NMNH,,Invertebrate Zoology
"Calderon, Cleofe",NMNH,1929,Botany
"Cannon, Susan Faye",NMAH,1925,History of Science
"Chase, Florence Meier",SAO/RBL,1902,Radiation Biology Lab
"Chase, Mary Agnes",NMNH,1869,Botany
"Chitwood, May Belle Hutson",NZP/NMNH,1908,
"Cochran, Doris Mable",NMNH,1898,Vertebrate Zoology
"Cohen, Jessie",NZP,,
"Collins, Margaret James",NMNH,1922,Entomology
"Cooper, Josephine W.",NMNH,1905,Paleobiology
"Dandridge, Serena",NMNH,1878,Invertebrate Zoology
"Denoyer Johnson, Muriel",SAO,,
"Densmore, Frances",NMNH,1867,Anthropology
"Doyle, Aida M.",NMNH,1868,Department of Arts and Industries 
"Ensign, Inez A.",SAO,,
"Fish, Marie Poland",NMNH,1900,Division of Fishes
"FitzHugh, Elisabeth West",FSG,1926,
"Fletcher, Alice Cunningham",NMNH,1838,Anthropology
"Fowle, Juliana Kugua",SAO,1893,
"Frisby, Florence Elizabeth",SAO,1880,
"Funk, Vicki Ann ",NMNH,1947,Botany
"Gallaher, Louisa Bernie",NMNH,1858,Photographic Department
"Gardner, Julia Anna",USGS,1882,Geology
"Gill, Mary Wright",NMNH,1867,BAE
"Glance, Grace E.",NMNH,1902,Entomology
"Graves, Florence A.",SAO,1872,
"Greeley, Olive ",SAO,1901,
"Hill, Lena",SAO,1889,
"Howard, JoGayle",NZP/SCBI,1951,
"Hughes, Regina Olson",NMNH,1895,Botany
"Jopling, Carol F.",STRI and BAE,1916,
"Kleiman, Devra G.",NZP/SCBI,1942,Research
"Laybourne, Roxie Collie",NMNH,1910,Vertebrate Zoology
Lillian Moore Abbot,SAO,1869,
"Linares, Olga Francesca",STRI,1936,
"Lutterlough, Sophie G.",NMNH,1910,Entomology
"Mann, Lucile Quarry ",NZP,1897,
Margaret Sordahl ,SAO,1906,
Marion F. Willoughby,NMNH,1905,Geology
"Marsden, Margaret A.",SAO,,
"Marvin, Ursula B.",SAO,1921,
"McCrane, Marion P.",NZP,1931,Office of the Director
"McEwan, Eula Davis",NMNH,1879,Geology
"McLaughlin, Patsy Ann",NMNH,1932,Smithsonian Oceanographic Sorting Center
"Meggers, Betty Jane",NMNH,1921,Anthropology
"Merzbach, Uta Caecilia",NMAH,1933,
"Miller, Mary",NMNH,1872,Botany
"Mitchell, Evelyn Groesbeeck",NMNH,1879,Entomology
"Moodey, Margaret W.",NMNH,1862,Geology
Mrs. Moore,SAO,,
"Parfin, Sophy Ivanova",NMNH,1918,Entomology
"Parker, Kittie Fenley",NMNH,1910,Botany
"Payne-Gaposchkin, Cecilia",SAO,1900,
"Perez Farfante, Isabel C. ",NMNH,1916,"US National Marine Fisheries Service, Systematics Laboratory"
"Pettibone, Marian H.",NMNH,1908,Invertebrate Zoology
"Powell, Emma Dean",USGS,1834,
"Prichard, Nancy ",SAO,1916,
"Rathbun, Mary Jane",NMNH,1860,Invertebrate Zoology
"Reed, Sherry Anne",NMNH,1959,Smithsonian Marine Station
"Reeside, Adelaide",NMNH,1882,Geology
"Reining, Priscilla",NMNH,1923,Anthropology
"Rhoderick, Maude C.",SAO,1882,
"Rice, Mary E.",NMNH,1926,Invertebrate Zoology
"Richwine, Beth Ann",NMAH,1959,Conservation
"Ripley, Suzanne",NZP,1936,Anthropology
"Rose, Carolyn L. ",NMNH,1949,Anthropology
"Rudd, Velva Elaine",NMNH,1910,Botany
Ruth Freeman,SAO,,
"Sachet, Marie-Helene",NMNH,1922,Botany
"Santiago, Margaret A.",NMNH,1931,Registrar's Office
"Schantz, Viola",NMNH,1895,Vertebrate Zoology
"Scott, Catherine ",NASM,1927,NASM Library
"Scott, M.L.",SAO,,
"Searle, Harriet Richardson",NMNH,1874,Invertebrate Zoology
"Simplson, Lucile",NMNH,,Geology
"Smith, Erminnie",NMNH,1836,Anthropology
"Smith, Jean Chandler",SI Archives ,1918,Libraries
"St. Hoyme, Lucile E.",NMNH,1924,Anthropology
"Stevenson, Matilda Coxe",NMNH,1849,Anthropology
"Stirling Pugh, Marion ",NMNH,1911,Anthropology
"Stroman, Nettie L.",NZP,1899,
"Thompson, Ellen Powell",USGS,1840,
"Turner, Amelia",NMNH,,
"Walcott, Mary Vaux",SI,1860,
"Walker, Alta",NASM,1942,Center for Earth and Planetary Studies
"Walker, Esther S.",NZP,1892,
"Warner Spilman, Rose Ella",NMNH,1916,Entomology
"Warner, Constance Philpitt",NZP,1897,
"Weaver, Esther",SAO,,
"Wedel, Mildred Mott",NMNH,1912,Anthropology
"Wieser, Francisca",NMNH,,Geology
"Wilson, Mildred Stratton",NMNH,1909,Invertebrate Zoology
"Withrow, Alice ",SAO/RBL,1907,Radiation and Organisms
